Duration;Force;Elongation;Temperature
h;N;mm;°C
0.0;1.5;0.0;40.4
0.004049722222;1.5;0.0;40.4
0.01933527778;1.5;0.0;40.3
0.02405416667;1.5;0.0;40.5
0.0267625;1.5;0.0;40.6
0.03328333333;1.5;0.0;40.9
0.03671055556;1.5;0.0;41.1
0.03900277778;1.5;0.0;41.3
0.04651694444;1.5;0.0;41.5
0.04911694444;1.5;0.0;41.3
0.05565583333;1.5;0.0;41.5
0.0719425;1.5;0.0;41.5
0.07264;1.5;0.0;41.8
0.07361944444;1.5;0.0;42.0
0.07596388889;1.5;0.0;42.1
0.09228583333;1.5;0.0;42.2
0.09449583333;1.5;0.0;42.4
0.09521944444;1.5;0.0;42.6
0.1008352778;1.5;0.0;43.0
0.1035469444;1.5;0.0;43.2
0.1041061111;1.5;0.0;43.2
0.10668;1.5;0.0;43.0
0.1124608333;1.5;0.0;42.8
0.115585;1.5;0.0;43.0
0.1162308333;1.5;0.0;43.2
0.1236322222;1.5;0.0;43.2
0.1291961111;1.5;0.0;43.5
0.1300022222;1.5;0.0;43.6
0.1401766667;1.5;0.0;43.4
0.1473813889;1.5;0.0;43.8
0.1565197222;1.5;0.0;44.0
0.1587555556;1.5;0.0;44.2
0.160905;1.5;0.0;44.4
0.1688436111;1.5;0.0;44.6
0.1746286111;1.5;0.0;44.8
0.1795463889;1.5;0.0;45.0
0.1816783333;1.5;0.0;45.0
0.1837455556;1.5;0.0;45.2
0.1971522222;1.5;0.0;45.5
0.2058105556;1.5;0.0;45.8
0.2102566667;1.5;0.0;46.0
0.2141380556;1.5;0.0;46.0
0.2187530556;1.5;0.0;46.2
0.2274716667;1.5;0.0;46.4
0.2295386111;1.5;0.0;46.6
0.2367797222;1.5;0.0;46.9
0.2442633333;1.5;0.0;46.9
0.2481158333;1.5;0.0;47.1
0.2683655556;1.5;0.0;47.5
0.2769713889;1.5;0.0;47.8
0.2921108333;1.5;0.0;48.0
0.2981733333;1.5;0.0;48.1
0.3438538889;1.5;0.0;49.0
0.3664538889;1.5;0.0;49.4
0.3780241667;1.5;0.0;49.4
0.3836444444;1.5;0.0;49.6
0.3949588889;1.5;0.0;49.6
0.4288869444;1.5;0.0;50.0
0.444175;1.5;0.0;50.0
0.4483652778;1.5;0.0;50.2
0.5570327778;1.5;0.0;50.4
0.5598538889;1.6;0.0;50.4
0.8404136111;1.6;0.0;49.6
0.8427319444;1.7;0.0;49.7
0.8767138889;1.7;0.0;49.7
0.8796216667;1.6;0.0;49.6
0.8806008333;1.6;0.0;49.6
