Duration;Force;Elongation;Temperature
h;N;mm;°C
0.0;1.5;0.0;23.9
0.001928333333;1.5;0.0;24.2
0.003268055556;1.5;0.0;24.4
0.004445555556;1.5;0.0;24.6
0.0149525;1.5;0.0;24.7
0.01576277778;1.5;0.0;24.4
0.01828055556;1.5;0.0;24.6
0.01897805556;1.5;0.0;24.9
0.02931527778;1.5;0.0;25.2
0.03004333333;1.5;0.0;25.3
0.0363825;1.5;0.0;25.5
0.03956555556;1.5;0.0;25.7
0.04091333333;1.5;0.0;26.0
0.04160666667;1.5;0.0;26.3
0.04216555556;1.5;0.0;26.6
0.05099527778;1.5;0.0;26.8
0.05264111111;1.5;0.0;27.0
0.05336916667;1.5;0.0;27.2
0.05482527778;1.5;0.0;27.4
0.05669722222;1.5;0.0;27.6
0.05893333333;1.5;0.0;27.8
0.06365277778;1.5;0.0;28.0
0.06851666667;1.5;0.0;28.1
0.06943972222;1.5;0.0;28.3
0.07080916667;1.5;0.0;28.5
0.07798944444;1.5;0.0;28.7
0.07868722222;1.5;0.0;29.0
0.08371583333;1.5;0.0;29.1
0.08447027778;1.5;0.0;28.8
0.08564472222;1.5;0.0;28.6
0.091345;1.5;0.0;28.4
0.09400111111;1.5;0.0;28.6
0.09768944444;1.5;0.0;28.8
0.1028561111;1.5;0.0;29.2
0.1088363889;1.5;0.0;29.4
0.1107647222;1.5;0.0;29.6
0.1340936111;1.5;0.0;30.8
0.1354066667;1.5;0.0;31.0
0.1368583333;1.5;0.0;31.2
0.1418061111;1.5;0.0;31.4
0.1433444444;1.5;0.0;31.6
0.1452511111;1.5;0.0;31.8
0.1460816667;1.5;0.0;32.1
0.1536555556;1.5;0.0;32.4
0.1555536111;1.5;0.0;32.5
0.1569263889;1.5;0.0;32.7
0.170305;1.5;0.0;32.9
0.1729872222;1.5;0.0;33.1
0.1760672222;1.5;0.0;33.4
0.17696;1.5;0.0;33.5
0.1771288889;1.5;0.0;33.6
0.1777405556;1.5;0.0;33.8
0.1784122222;1.5;0.0;34.1
0.1827152778;1.5;0.0;34.1
0.1840022222;1.5;0.0;33.9
0.1864288889;1.5;0.0;34.1
0.1945991667;1.5;0.0;34.4
0.2009677778;1.5;0.0;34.5
0.2027269444;1.5;0.0;34.7
0.2056302778;1.5;0.0;34.9
0.2086508333;1.5;0.0;35.1
0.2150802778;1.5;0.0;35.4
0.2161675;1.5;0.0;35.5
0.2176233333;1.5;0.0;35.7
0.2201930556;1.5;0.0;35.9
0.2226244444;1.5;0.0;36.1
0.2330811111;1.5;0.0;36.5
0.2361233333;1.5;0.0;36.7
0.2373277778;1.5;0.0;36.9
0.2458733333;1.5;0.0;37.0
0.2515188889;1.5;0.0;37.3
