Duration;Force;Elongation;Temperature
h;N;mm;°C
0.0;1.2;0.0;22.4
0.0002772222222;1.2;0.0;22.4
0.001313055556;1.2;0.0;22.4
0.009784722222;1.2;0.0;22.4
0.02692305556;1.2;0.0;23.2
0.02784166667;1.2;0.0;23.4
0.029185;1.2;0.0;23.6
0.03427222222;1.2;0.0;24.0
0.04282638889;1.2;0.0;24.5
0.04349805556;1.2;0.0;24.6
0.04425638889;1.2;0.0;24.8
0.04442111111;1.2;0.0;24.9
0.04509277778;1.2;0.0;25.0
0.04607194444;1.2;0.0;25.1
0.05507666667;1.2;0.0;25.5
0.06967138889;1.2;0.0;26.4
0.07134833333;1.2;0.0;26.6
0.07244027778;1.2;0.0;26.8
0.07336333333;1.2;0.0;27.1
0.07434277778;1.2;0.0;27.3
0.07755805556;1.2;0.0;27.7
0.07934777778;1.2;0.0;27.9
0.08060444444;1.2;0.0;28.1
0.08334305556;1.2;0.0;28.5
0.0867275;1.2;0.0;28.9
0.08804055556;1.2;0.0;29.1
0.09223944444;1.2;0.0;29.5
0.09341388889;1.2;0.0;29.7
0.09467055556;1.2;0.0;29.9
0.09593138889;1.2;0.0;30.1
0.09850555556;1.2;0.0;30.5
0.09942833333;1.2;0.0;30.6
0.1016383333;1.2;0.0;30.9
0.1029513889;1.2;0.0;31.1
0.1032027778;1.2;0.0;31.1
0.1037097222;1.2;0.0;31.2
0.1042688889;1.2;0.0;31.3
0.1056641667;1.2;0.0;31.5
0.1087105556;1.2;0.0;31.9
0.1098588889;1.2;0.0;32.1
0.1121466667;1.2;0.0;32.4
0.1129138889;1.2;0.0;32.5
0.1140794444;1.2;0.0;32.7
0.1150544444;1.2;0.0;32.9
0.1157305556;1.2;0.0;33.1
0.1165105556;1.2;0.0;33.3
0.1167619444;1.2;0.0;33.4
0.1173511111;1.2;0.0;33.5
0.1190280556;1.2;0.0;33.7
0.1236691667;1.2;0.0;34.0
0.1240330556;1.2;0.0;34.1
0.1250125;1.2;0.0;34.3
0.1258227778;1.2;0.0;34.5
0.1262691667;1.2;0.0;34.6
0.1281411111;1.2;0.0;34.9
0.1290380556;1.2;0.0;35.1
0.1308538889;1.2;0.0;35.3
0.1325569444;1.2;0.0;35.4
0.1330336111;1.2;0.0;35.5
0.1346844444;1.2;0.0;35.7
0.1362227778;1.2;0.0;35.9
0.1370072222;1.2;0.0;36.0
0.1378997222;1.2;0.0;36.1
0.1393558333;1.2;0.0;36.3
0.1400275;1.2;0.0;36.4
0.1411713889;1.2;0.0;36.5
0.1425972222;1.2;0.0;36.7
0.1428225;1.2;0.0;36.7
0.1445819444;1.2;0.0;36.9
0.1462633333;1.2;0.0;37.1
0.1480527778;1.2;0.0;37.3
0.1491405556;1.2;0.0;37.4
0.1496736111;1.2;0.0;37.5
0.1501761111;1.2;0.0;37.6
0.1510427778;1.2;0.0;37.7
0.15272;1.2;0.0;37.9
0.1546872222;1.2;0.0;38.1
0.1557791667;1.2;0.0;38.2
0.1562169444;1.2;0.0;38.3
0.1568886111;1.2;0.0;38.4
0.1572222222;1.2;0.0;38.4
0.1578677778;1.2;0.0;38.5
0.159545;1.2;0.0;38.7
0.1611394444;1.2;0.0;38.9
0.1626777778;1.2;0.0;39.1
0.1642161111;1.2;0.0;39.3
0.1648011111;1.2;0.0;39.4
0.1668161111;1.2;0.0;39.6
0.1707552778;1.2;0.0;40.0
0.1710888889;1.2;0.0;40.1
0.1729738889;1.2;0.0;40.3
0.174365;1.2;0.0;40.5
0.1760983333;1.2;0.0;40.6
0.1823080556;1.2;0.0;41.1
0.1838463889;1.2;0.0;41.3
0.185155;1.2;0.0;41.5
0.1866933333;1.2;0.0;41.7
0.1905802778;1.2;0.0;42.0
0.1944672222;1.2;0.0;42.4
0.1971236111;1.2;0.0;42.6
0.2018469444;1.2;0.0;42.9
0.2040569444;1.2;0.0;43.1
0.2061802778;1.2;0.0;43.3
0.2070469444;1.2;0.0;43.4
0.20875;1.2;0.0;43.5
0.2102883333;1.2;0.0;43.7
0.2200469444;1.2;0.0;44.3
0.2225602778;1.2;0.0;44.5
0.2234572222;1.2;0.0;44.5
0.2256111111;1.2;0.0;44.7
0.228185;1.2;0.0;44.9
0.2289086111;1.2;0.0;45.0
0.2299138889;1.2;0.0;45.1
0.2360238889;1.2;0.0;45.1
0.2377747222;1.2;0.0;45.5
0.2408252778;1.2;0.0;45.6
0.2456352778;1.2;0.0;45.9
0.2480316667;1.2;0.0;46.1
0.2532402778;1.2;0.0;46.4
0.2674408333;1.2;0.0;47.1
0.2678566667;1.2;0.0;47.1
0.2753230556;1.2;0.0;47.4
0.2957633333;1.2;0.0;48.1
0.3039577778;1.2;0.0;48.4
0.3078752778;1.2;0.0;48.5
0.3085469444;1.2;0.0;48.6
