Duration;Force;Elongation;Temperature
h;N;mm;°C
0.0;1.5;0.0;21.4
0.0002816666667;1.5;0.0;21.4
0.01112166667;1.5;0.0;21.6
0.01383138889;1.5;0.0;21.8
0.01718527778;1.5;0.0;22.0
0.01956527778;1.5;0.0;22.2
0.02129805556;1.5;0.0;22.4
0.02283194444;1.5;0.0;22.6
0.02420138889;1.5;0.0;22.8
0.03325611111;1.5;0.0;23.2
0.03521055556;1.5;0.0;23.4
0.0431425;1.5;0.0;23.6
0.04515361111;1.5;0.0;23.8
0.04607666667;1.5;0.0;24.0
0.04697138889;1.5;0.0;24.2
0.04808944444;1.5;0.0;24.4
0.04941111111;1.5;0.0;24.6
0.05038166667;1.5;0.0;24.8
0.05121805556;1.5;0.0;25.0
0.05225388889;1.5;0.0;25.2
0.0566425;1.5;0.0;25.4
0.05789472222;1.5;0.0;25.6
0.05976666667;1.5;0.0;25.8
0.06507833333;1.5;0.0;26.2
0.06597083333;1.5;0.0;26.4
0.06831861111;1.5;0.0;26.6
0.07152861111;1.5;0.0;26.8
0.07370833333;1.5;0.0;27.0
0.07466166667;1.5;0.0;27.2
0.07968833333;1.5;0.0;27.4
0.08147805556;1.5;0.0;27.6
0.08267833333;1.5;0.0;27.8
0.0834325;1.5;0.0;28.0
0.08435694444;1.5;0.0;28.2
0.08530611111;1.5;0.0;28.4
0.08720833333;1.5;0.0;28.6
0.09081277778;1.5;0.0;28.8
0.09626027778;1.5;0.0;29.0
0.09799361111;1.5;0.0;29.2
0.09916361111;1.5;0.0;29.4
0.1000302778;1.5;0.0;29.6
0.1011222222;1.5;0.0;29.8
0.1027169444;1.5;0.0;30.0
0.1039738889;1.5;0.0;30.2
0.1050397222;1.5;0.0;30.4
0.1073263889;1.5;0.0;30.6
0.1084183333;1.5;0.0;30.8
0.1107355556;1.5;0.0;31.0
0.1115458333;1.5;0.0;31.2
0.1124666667;1.5;0.0;31.4
0.1133072222;1.5;0.0;31.5
0.1174680556;1.5;0.0;31.8
0.1183911111;1.5;0.0;32.0
0.1195655556;1.5;0.0;32.2
0.1306311111;1.5;0.0;32.4
0.1318055556;1.5;0.0;32.6
0.1328802778;1.5;0.0;32.8
0.1337686111;1.5;0.0;33.0
0.1350163889;1.5;0.0;33.2
0.1387869444;1.5;0.0;33.4
0.1401027778;1.5;0.0;33.6
0.1442108333;1.5;0.0;33.8
0.1470597222;1.5;0.0;34.0
0.1472805556;1.5;0.0;34.0
0.1509422222;1.5;0.0;34.2
0.1525586111;1.5;0.0;34.4
0.1549944444;1.5;0.0;34.6
0.1588769444;1.5;0.0;34.8
0.1606102778;1.5;0.0;35.0
0.1630152778;1.5;0.0;35.2
0.1646091667;1.5;0.0;35.4
0.16821;1.5;0.0;35.6
0.1718458333;1.5;0.0;35.8
0.1730158333;1.5;0.0;36.0
0.1746883333;1.5;0.0;36.2
0.1768508333;1.5;0.0;36.4
0.1782927778;1.5;0.0;36.6
0.1795491667;1.5;0.0;36.8
0.1812825;1.5;0.0;36.9
0.1821491667;1.5;0.0;37.0
0.1841630556;1.5;0.0;37.2
0.1871530556;1.5;0.0;37.4
0.1889730556;1.5;0.0;37.6
0.1932777778;1.5;0.0;37.9
0.1941702778;1.5;0.0;38.0
0.1982913889;1.5;0.0;38.1
0.2012644444;1.5;0.0;38.4
0.2040030556;1.5;0.0;38.6
0.2055983333;1.5;0.0;38.8
0.2073880556;1.5;0.0;39.0
0.2109588889;1.5;0.0;39.2
0.2152619444;1.5;0.0;39.4
0.2169380556;1.5;0.0;39.6
0.2218866667;1.5;0.0;39.8
0.2249588889;1.5;0.0;40.0
0.2263369444;1.5;0.0;40.2
0.2275858333;1.5;0.0;40.4
0.2299605556;1.5;0.0;40.6
0.2342063889;1.5;0.0;40.8
0.2356580556;1.5;0.0;41.0
0.2371963889;1.5;0.0;41.2
0.2445702778;1.5;0.0;41.4
0.2492633333;1.5;0.0;41.5
0.2506327778;1.5;0.0;41.6
0.2527863889;1.5;0.0;41.8
0.2557175;1.5;0.0;42.0
0.2613336111;1.5;0.0;42.2
0.2633708333;1.5;0.0;42.4
0.2662483333;1.5;0.0;42.5
0.2666947222;1.5;0.0;42.6
0.2713052778;1.5;0.0;42.8
0.2777605556;1.5;0.0;43.0
0.2800530556;1.5;0.0;43.1
0.2840225;1.5;0.0;43.4
0.2866180556;1.5;0.0;43.6
0.2905188889;1.5;0.0;43.8
0.3000305556;1.5;0.0;44.0
0.3002733333;1.5;0.0;44.0
0.3061797222;1.5;0.0;44.2
0.3133252778;1.5;0.0;44.4
0.3172383333;1.5;0.0;44.5
0.3205147222;1.5;0.0;44.6
0.3243952778;1.5;0.0;44.8
0.3284988889;1.5;0.0;45.0
0.3336686111;1.5;0.0;44.8
0.3342536111;1.5;0.0;44.8
0.3366716667;1.5;0.0;45.0
0.3384461111;1.5;0.0;45.2
0.3512380556;1.5;0.0;45.4
0.3536994444;1.5;0.0;45.6
0.355515;1.5;0.0;45.8
0.36588;1.5;0.0;46.0
0.3682280556;1.5;0.0;46.0
0.3732588889;1.5;0.0;46.2
0.3971658333;1.5;0.0;46.5
0.3978983333;1.5;0.0;46.6
0.4030069444;1.5;0.0;46.8
0.4191805556;1.5;0.0;46.9
0.4228097222;1.5;0.0;47.1
0.4701458333;1.5;0.0;47.5
0.4706486111;1.5;0.0;47.6
0.4941725;1.5;0.0;47.9
0.6400216667;1.5;0.0;48.9
0.6570152778;1.5;0.0;49.0
0.6589177778;1.5;0.0;49.2
0.6649247222;1.5;0.0;49.0
0.6683955556;1.5;0.0;49.2
0.6790383333;1.5;0.0;49.4
0.6909938889;1.5;0.0;49.5
0.6939277778;1.5;0.0;49.6
0.7295813889;1.5;0.0;49.9
0.7368961111;1.5;0.0;50.1
0.7416808333;1.5;0.0;49.9
0.7419625;1.5;0.0;49.9
0.7460119444;1.5;0.0;50.1
0.7990486111;1.5;0.0;50.4
0.8439013889;1.5;0.0;50.5
0.8560266667;1.5;0.0;50.3
1.217645556;1.5;0.0;50.1
1.540439444;1.5;0.0;50.0
1.550245833;1.5;0.0;50.2
1.557426111;1.5;0.0;50.0
1.6423625;1.5;0.0;50.0
1.655353889;1.5;0.0;49.8
1.659349444;1.5;0.0;49.8
1.820595556;1.5;0.0;50.0
1.829231667;1.5;0.0;50.0
2.168985556;1.5;0.0;49.8
2.359608611;1.5;0.0;50.2
2.371233056;1.5;0.0;50.0
2.457820556;1.5;0.0;49.9
2.525777778;1.5;0.0;50.1
2.545143333;1.5;0.0;49.9
2.661683889;1.5;0.0;49.9
3.086425833;1.5;0.0;50.2
3.091621667;1.5;0.0;50.0
3.188354444;1.5;0.0;50.0
3.193940833;1.5;0.0;49.8
3.222328611;1.5;0.0;50.0
3.664718333;1.5;0.0;50.2
3.740475833;1.5;0.0;50.0
4.044756944;1.5;0.0;50.0
4.248331667;1.5;0.0;49.8
4.253752778;1.5;0.0;50.0
4.377676389;1.5;0.0;50.0
4.550698889;1.5;0.0;50.2
4.559863889;1.5;0.0;50.0
4.708898333;1.5;0.0;49.8
4.720212778;1.5;0.0;50.0
6.4333075;1.5;0.0;50.0
6.50366;1.5;0.0;50.2
6.539146111;1.5;0.0;50.0
6.55222;1.5;0.0;49.9
6.671087778;1.5;0.0;50.1
6.676560833;1.5;0.0;49.8
6.733755833;1.5;0.0;50.0
6.860758611;1.5;0.0;49.8
6.868944444;1.5;0.0;50.1
6.875036944;1.5;0.0;50.0
6.892028056;1.5;0.0;49.8
6.946320556;1.5;0.0;49.8
6.952244167;1.5;0.0;50.0
7.061915833;1.5;0.0;49.8
7.1039675;1.5;0.0;50.0
7.367823889;1.5;0.0;50.0
7.384806389;1.5;0.0;49.8
7.3977675;1.5;0.0;50.1
7.4041375;1.5;0.0;50.1
7.411071111;1.5;0.0;49.9
7.452756389;1.5;0.0;49.9
7.471556667;1.5;0.0;50.1
7.481137778;1.5;0.0;49.9
7.894430833;1.5;0.0;49.9
8.064311111;1.5;0.0;50.1
8.155534444;1.5;0.0;50.1
8.166229167;1.5;0.0;49.9
8.204588889;1.5;0.0;50.1
8.213008333;1.5;0.0;49.9
8.353113056;1.5;0.0;49.9
8.359426667;1.5;0.0;50.1
8.406203333;1.5;0.0;49.8
8.472021111;1.5;0.0;50.0
8.697800278;1.5;0.0;50.1
8.704196389;1.5;0.0;49.9
10.01212333;1.5;0.0;49.9
10.01229222;1.6;0.0;49.9
10.012625;1.6;0.0;49.9
10.01291361;1.7;0.0;49.9
10.0131;1.7;0.0;49.9
10.01419167;1.9;0.0;49.9
10.01625611;1.9;0.0;49.9
10.016425;2.1;0.0;49.9
10.01663306;2.3;0.0;49.9
10.01681944;2.9;0.0;49.9
10.01698417;3.7;0.0;49.9
10.01715306;4.6;0.0;49.9
10.01731778;5.8;0.0;49.9
10.01749111;7.4;0.0;49.9
10.01768472;9.6;0.0;49.9
10.01796222;14.4;0.0;49.9
10.01832611;21.8;0.0;49.9
10.01865972;28.5;0.0;49.9
10.01894139;31.4;0.0;49.9
10.01921889;32.5;0.0;49.9
10.01950472;32.4;0.0;49.9
10.01979333;32.2;0.0;49.9
10.02006694;32.1;0.0;49.9
10.02025472;32.0;0.0;49.9
10.02061472;31.8;0.0;49.9
10.02084222;31.7;0.0;49.9
10.02117583;31.6;0.0;49.9
10.02145556;31.5;0.0;49.9
10.02173306;31.5;0.0;49.9
10.0220275;31.4;0.0;49.9
10.02230278;31.3;0.0;49.9
10.02248889;31.3;0.0;49.9
10.02276778;31.2;0.0;49.9
10.02313611;31.1;0.0;49.9
10.02341111;31.1;0.0;49.9
10.02369278;31.0;0.0;49.9
10.02424833;31.0;0.0;49.9
10.02453;30.9;0.0;49.9
10.02480694;30.9;0.0;49.9
10.02508861;30.8;0.0;49.9
10.02536611;30.8;0.0;49.9
10.02564778;30.7;0.0;50.0
10.02620667;30.7;0.0;50.0
10.02648833;30.6;0.0;50.0
10.02696972;30.6;0.0;50.0
10.02713;30.9;0.0;50.0
10.02729472;31.7;0.0;50.0
10.02746361;33.5;0.0;50.0
10.02768889;36.8;0.0;50.0
10.0280875;42.8;0.0;50.0
10.02838583;45.7;0.0;50.0
10.02871972;46.2;0.0;50.0
10.02930889;45.9;0.0;50.0
10.02975389;45.8;0.0;50.0
10.02992278;46.2;0.0;50.0
10.03009194;47.4;0.0;50.0
10.03026083;49.6;0.001;50.0
10.03042556;52.5;0.002;50.0
10.03059361;57.1;0.005;50.0
10.03075833;62.6;0.009;50.0
10.03092722;67.7;0.013;50.0
10.03110056;74.2;0.018;50.0
10.03126278;80.5;0.024;50.0
10.03144056;86.4;0.03;50.0
10.03162944;91.9;0.037;50.0
10.03179389;97.4;0.045;50.0
10.03196306;102.7;0.053;50.0
10.03213639;107.7;0.062;50.0
10.03229972;112.0;0.07;50.0
10.03247306;117.1;0.08;50.0
10.03263583;121.6;0.09;50.0
10.032805;124.5;0.098;50.0
10.03299694;127.3;0.109;50.0
10.03333111;129.2;0.127;50.0
10.03353056;129.1;0.138;50.0
10.0337775;128.5;0.151;50.0
10.03417194;127.8;0.171;50.0
10.03450556;127.2;0.187;50.0
10.03470056;127.0;0.197;50.0
10.03496056;126.8;0.209;50.0
10.03515111;126.6;0.217;50.0
10.03749583;126.9;0.312;50.0
10.03782972;127.1;0.323;50.0
10.03799861;127.2;0.329;50.0
10.0381675;127.4;0.335;50.0
10.03841889;127.6;0.343;50.0
10.03864;127.8;0.351;50.0
10.0388175;128.0;0.356;50.0
10.03914694;128.3;0.366;50.0
10.03931167;128.5;0.372;50.0
10.039485;128.6;0.377;50.0
10.03965194;128.8;0.382;50.0
10.03981667;128.9;0.386;50.0
10.04015028;129.3;0.396;50.0
10.04031917;129.5;0.4;50.0
10.04048833;129.7;0.405;50.0
10.04065722;129.9;0.41;50.0
10.04082639;130.2;0.414;50.0
10.04099083;130.4;0.419;50.0
10.04116028;130.6;0.423;50.0
10.04143778;131.0;0.431;50.0
10.04163278;131.2;0.435;50.0
10.04180167;131.4;0.44;50.0
10.04205306;131.8;0.446;50.0
10.04221778;131.9;0.45;50.0
10.04247417;132.2;0.456;50.0
10.0426425;132.5;0.46;50.0
10.04280694;132.7;0.464;50.0
10.04302806;133.0;0.469;50.0
10.04325333;133.4;0.475;50.0
10.04342028;133.7;0.479;50.0
10.04364556;133.9;0.484;50.0
10.04434639;134.0;0.499;50.0
10.04468;133.7;0.506;50.0
10.04490528;133.6;0.51;50.0
10.04680778;133.4;0.52;50.0
10.04711111;133.7;0.549;50.0
10.04875861;133.8;0.574;50.0
10.04915306;134.1;0.58;50.0
10.05213944;133.8;0.614;50.0
10.05230833;134.1;0.618;50.0
10.05314694;134.4;0.623;50.0
10.05362694;134.1;0.631;50.0
10.06130194;134.0;0.648;49.9
10.064405;134.1;0.7;50.0
10.07566833;134.0;0.722;50.0
10.08009111;133.9;0.772;50.0
10.08539306;133.5;0.787;50.0
10.08712556;134.1;0.793;50.0
10.09699056;133.8;0.798;50.0
10.09767472;134.3;0.819;50.0
10.11423361;133.9;0.853;50.0
10.14209028;133.9;0.898;49.9
10.16494528;133.8;0.928;50.0
10.2228125;133.9;0.98;49.8
10.30757306;133.9;1.005;49.9
10.34307694;134.2;1.032;49.9
10.35179472;133.9;1.053;50.0
10.35234944;134.2;1.054;50.0
10.4234875;133.9;1.082;49.9
10.42471389;134.2;1.082;49.9
10.47413944;133.9;1.098;50.0
10.47547833;134.2;1.099;50.0
10.52926583;133.7;1.12;50.0
10.59732972;133.9;1.131;49.9
10.60342139;134.0;1.132;50.1
10.63348444;133.9;1.143;49.9
10.63608;133.9;1.142;50.1
10.67094806;133.9;1.15;50.1
10.72347389;134.2;1.15;50.1
10.74596583;133.8;1.17;50.0
10.96930861;134.0;1.187;49.9
11.43255583;134.1;1.22;49.9
11.53802861;133.9;1.25;50.0
11.53939389;134.2;1.25;50.0
11.59395944;134.1;1.254;49.8
11.59725278;134.1;1.254;50.0
11.65171222;134.1;1.264;50.0
11.73237583;133.8;1.271;50.1
11.84162722;134.1;1.27;50.1
11.91431056;134.2;1.27;50.0
11.9267125;134.2;1.276;49.8
12.31163694;134.1;1.276;50.0
12.6174075;134.0;1.308;50.0
12.6231925;134.0;1.308;49.8
12.62470056;134.0;1.308;49.8
12.63093194;134.0;1.308;50.0
12.788735;133.9;1.314;50.0
13.65523917;134.0;1.315;49.8
13.67527056;134.0;1.342;50.0
13.84537361;134.0;1.342;49.8
13.875325;134.0;1.348;49.8
14.23144028;134.0;1.348;50.0
14.97903278;134.1;1.36;50.0
14.98526833;134.0;1.372;49.8
14.98599194;134.0;1.372;49.8
15.00264083;134.0;1.373;50.0
15.33251722;134.1;1.381;50.0
15.54758139;133.9;1.383;49.7
15.5490025;134.2;1.384;49.7
15.85134194;134.0;1.392;50.1
15.91348667;134.0;1.392;50.1
15.91650306;134.0;1.392;49.9
15.92267806;134.1;1.392;49.9
16.35526583;134.1;1.393;50.1
16.37892194;134.0;1.397;50.1
16.49679194;134.0;1.397;49.9
20.12097694;134.0;1.404;49.9
20.12474528;134.0;1.447;50.2
20.12879694;134.0;1.447;50.1
23.24234861;134.0;1.455;50.0
23.704395;134.0;1.468;49.9
23.83078972;134.0;1.468;49.8
24.1109275;134.0;1.472;50.0
25.82450083;134.0;1.475;50.0
26.36408278;134.0;1.487;49.8
26.829525;134.0;1.487;50.0
27.7436175;134.1;1.495;50.0
27.96333111;134.1;1.496;49.8
27.97129583;134.0;1.497;50.1
28.03306694;134.0;1.497;49.9
32.27335139;134.0;1.499;49.9
32.65557083;134.0;1.516;50.1
37.44812611;134.0;1.517;50.1
37.63827667;134.0;1.53;49.9
39.78870222;134.0;1.532;49.9
40.22040833;134.0;1.542;50.1
40.22507889;134.0;1.542;49.9
41.98063;134.0;1.542;49.9
41.99311444;134.0;1.545;50.1
41.99979639;134.0;1.545;49.9
42.01066889;134.0;1.545;49.8
42.04304361;134.0;1.545;50.0
42.05067111;134.0;1.545;49.8
42.57319917;133.9;1.549;50.0
42.61097333;134.2;1.549;50.0
43.47012444;134.2;1.529;50.0
43.51577694;133.9;1.548;50.0
43.62415333;134.2;1.548;50.0
44.31190083;134.2;1.554;50.0
44.45699528;134.1;1.54;49.8
44.46146278;134.1;1.54;50.0
46.07605194;134.0;1.54;50.1
46.0864475;134.0;1.537;50.2
46.12287972;134.1;1.553;50.0
46.12922361;134.1;1.553;50.2
47.14541417;134.0;1.555;50.0
47.14940944;134.0;1.555;50.2
47.1634625;133.9;1.556;50.0
47.97938444;134.0;1.558;49.8
47.98374389;134.1;1.558;50.0
54.36735861;134.0;1.562;50.0
55.67806694;134.0;1.571;49.8
55.68346194;134.1;1.575;50.1
56.69645194;133.9;1.578;49.9
61.04100667;134.2;1.579;49.9
61.13192444;134.1;1.591;50.1
61.13838139;134.1;1.591;49.9
68.78520694;134.1;1.591;49.9
68.79520833;134.0;1.604;50.1
68.97021083;134.0;1.604;49.9
74.95026778;134.0;1.606;49.9
74.95781639;134.0;1.639;50.1
75.64569528;134.0;1.696;50.0
75.72899139;134.1;1.707;50.0
75.97059556;133.9;1.756;49.9
75.97165722;134.2;1.756;49.9
76.13575972;133.8;1.845;49.9
76.14757667;134.1;1.85;49.9
76.15962361;133.5;1.868;49.9
76.15995917;133.7;1.868;49.9
76.16018444;133.8;1.869;49.9
76.19172861;134.0;1.869;49.9
76.19421583;133.7;1.914;50.0
76.21634389;133.7;1.956;50.0
76.22835139;134.2;1.987;50.0
76.23458278;133.9;1.998;50.0
76.23494667;134.3;2.011;50.0
76.23570083;134.0;2.014;50.0
76.24416806;134.0;2.028;50.0
76.24519944;133.7;2.065;50.0
76.24575833;134.1;2.069;50.0
76.24626111;134.2;2.073;50.0
76.24656861;133.9;2.076;50.0
76.24947194;133.9;2.082;50.0
76.24980583;133.5;2.111;50.0
76.24997472;133.3;2.114;50.0
76.250395;133.1;2.121;50.0
76.25081528;132.6;2.13;50.0
76.25103639;131.8;2.136;50.0
76.25120528;129.2;2.145;50.0
76.25137;122.1;2.164;50.0
76.25153917;105.5;2.195;50.0
76.25170806;83.0;2.229;50.0
